"VP","VN","FP","FN"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"13","30","2","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","29","0","1"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"15","28","0","2"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","28","0","2"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","27","0","3"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
